timestamp,x,y,z,qx,qy,qz,qw
1751868952242,0.0,0.0,-12.209195137023926,0.0,-0.0,-0.20337092876434326,0.9791017770767212
1751868957363,-0.04259094223380089,11.398408889770508,-12.668204307556152,-0.1289462149143219,-0.003863232210278511,-0.20754146575927734,0.9696826338768005
1751868962020,-0.02915100008249283,21.361366271972656,-12.660099029541016,-0.12808416783809662,-0.00807785615324974,-0.2162570357322693,0.9678646922111511
1751868966567,-0.02710266038775444,31.328702926635742,-12.630228996276855,-0.12876683473587036,-0.008432108908891678,-0.22480376064777374,0.9658215641975403
1751868971100,-0.03634338453412056,41.37360382080078,-12.653836250305176,-0.12623369693756104,-0.008043020963668823,-0.23356172442436218,0.9640795588493347
1751868975682,-0.03270568698644638,51.358558654785156,-12.626954078674316,-0.12808525562286377,-0.009087836369872093,-0.24245038628578186,0.9616284966468811
1751868980232,-0.036149900406599045,61.383914947509766,-12.629453659057617,-0.12382106482982635,-0.00861840695142746,-0.2517772614955902,0.9597928524017334
1751868984814,-0.03171325474977493,71.3631362915039,-12.609540939331055,-0.12534144520759583,-0.009771278128027916,-0.2611350119113922,0.9570801258087158
1751868989340,-0.03376464918255806,81.35566711425781,-12.651848793029785,-0.12686043977737427,-0.010990731418132782,-0.2702058255672455,0.9543449878692627
1751868993855,-0.03298766911029816,91.36922454833984,-12.621735572814941,-0.12280309945344925,-0.010352548211812973,-0.2798115611076355,0.9521122574806213
